Results,Year,Age,Previous marathons,GDP,Weight,Height,Last Time
7377.0,2014,37,5,61445345999.0765,,,7425.0
7425.0,2013,37,5,55097343447.5616,,,7610.0
7456.0,2012,37,5,50412754821.9795,,,
7550.0,2015,37,5,63767539356.6051,,,7377.0
7610.0,2013,37,5,55097343447.5616,,,7456.0
7382.0,2011,40,9,41953433591.4101,,,7510.0
7455.0,2012,40,9,50412754821.9795,,,7506.0
7495.0,2010,40,9,39999659233.7555,,,7621.0
7506.0,2011,40,9,41953433591.4101,,,7382.0
7510.0,2010,40,9,39999659233.7555,,,7495.0
7621.0,2009,40,9,37021512048.8158,,,7670.0
7670.0,2008,40,9,35895153327.8497,,,
7698.0,2014,40,9,61445345999.0765,,,7704.0
7704.0,2013,40,9,55097343447.5616,,,7455.0
7383.0,2016,39,5,72374224249.3997,,,7596.0
7504.0,2014,39,5,55612228233.5179,,,
7551.0,2014,39,5,55612228233.5179,,,7504.0
7557.0,2017,39,5,,,,7383.0
7596.0,2016,39,5,72374224249.3997,,,7551.0
7385.0,2016,37,7,70529014778.3251,57.0,167.0,7440.0
7440.0,2015,37,7,63767539356.6051,57.0,167.0,7482.0
7445.0,2013,37,7,55097343447.5616,57.0,167.0,7530.0
7451.0,2014,37,7,61445345999.0765,57.0,167.0,7500.0
7482.0,2015,37,7,63767539356.6051,57.0,167.0,7451.0
7500.0,2014,37,7,61445345999.0765,57.0,167.0,7445.0
7530.0,2013,37,7,55097343447.5616,57.0,167.0,
7386.0,2011,36,4,41953433591.4101,,,
7503.0,2012,36,4,50412754821.9795,,,7537.0
7537.0,2011,36,4,41953433591.4101,,,7386.0
7579.0,2015,36,4,63767539356.6051,,,7503.0
7393.0,2014,37,13,61445345999.0765,,,7699.0
7432.0,2013,37,13,55097343447.5616,,,7593.0
7480.0,2011,37,13,41953433591.4101,,,7583.0
7575.0,2008,37,13,35895153327.8497,,,7589.0
7583.0,2010,37,13,39999659233.7555,,,7668.0
7588.0,2011,37,13,41953433591.4101,,,7480.0
7589.0,2007,37,13,31958195182.2406,,,
7593.0,2013,37,13,55097343447.5616,,,7681.0
7613.0,2009,37,13,37021512048.8158,,,7575.0
7666.0,2015,37,13,63767539356.6051,,,7393.0
7668.0,2009,37,13,37021512048.8158,,,7613.0
7681.0,2012,37,13,50412754821.9795,,,7588.0
